"ORIGIN_STYLE","REPLACE_STYLE"
NM253,HA240
NM261,BM346
SJC1,HTC27
WDHNB9,JLSN3
BM143,MNL118
BM237,TA27
FLN12,BJN7
HA152,MS22
TA129,LMC15
KS71,JE11
SW315,LR79
SA74,BM162
ANR9,JS89
SA70,YK21
MJPE23,KSAPE289
BM112,ELQ11
EJ62,BM328
LZPE31,LFPE77
DSQ11,DM31
BM223,CD19
TYB2,OC90
MRAHNB8,SPL7
BM292,JS100
SLN3,NLS15
KJLPE30,JDLHNB6
ELQ21,TYB14
BM180,SWAPE59
BM151,BM165
MAR21,PPL24
SAB2,TB156
MH24,SU16
LKB7,BJN7
BC75,MNL3
SWAPE59,WDHNB23
HA129,NK39
BC57,GA3
DVF136,JWG9
SWARNG134,CN94
SH33,TA31
MNL191,OS35
ASI6,KLY5
PK96,TLA3
NLS26,CS61
BAMPE33,KSANK126
RT109,JJ3
MNL2,MNL113
MNL46,PPR5
PG35,DMN10
MN2,TT87
MNL109,YB43
MAR5,RM23
BM240,TT159
LSS8,BM270
JOA29,ELCPE38
RR93,JG78
JS32,SA116
DNJPE29,SWPE10
DSQ4,CA26
JS23,JW36
CE7,TT191
TT68,EJ56
LKL33,LKL5
MN23,CN36
HA143,MNL91
DJ4,KS168
TA15,MNL30
SWABRC55,MJPE15
KPL7,BM529
HL165,INGHNB2
CS43,MV14
TA43,BM212
NMK13,MN40
SW585,RT185
JW35,DL83
OMR8,AMU134
SW18,TT86
TYB43,GWBRNG22
CAS60,LKL28
EJ38,NK7
BM162,EJ77
NK39,LAP8
BM81,BM212
DVF52,LND4
NLS16,PK105
MN34,MN52
HA311,HB57
JG108,LDT14
TT77,DVF11
TNT37,BM523
RR65,BC53
SH82,ML52
DL117,JE67
JS84,KP23
CN15,VW10
MN64,LAP42
BC45,NM196
JW2,HB18
HB12,AMU53
RED57,DVF140
RED16,EJ75
TB204,CR116
TB144,NM331
NM172,SW101
HA117,EF106
MOP9,CY18
BM352,JG18
EF40,NM176
NM255,MN41
BM216,MN20
HA172,LAP10
JS7,MN36
HA311,NM252
AX5,NK33
LR65,TA31
GRL12,LET3
ALC18,TME18
MRW12,BM466
TA40,NM292
MN21,BC90
RY31,NC7
VD2,SH211
TT68,SH256
MNL169,BM405
ELQ43,BM513
PK206,NLS46
SW165,NK37
JSC12,BM250
CV28,HL147
CT18,NM200
BC91,CLO53
BAMBRC46,SMDBRC26
SA81,MNL120
TA35,NM124
SWABRC79,LFBRC4
FP11,NM265
KOM9,RA27
JS47,DVF147
MN50,NM202
MNL188,NM124
MNL196,MN59
JS73,SW150
CY19,LR79
BM409,MNL96
NM213,BM284
JG68,LAP52
MG29,IRO18
CLVHNB33,KP65
MNL39,SW11
SW287,YB1
EJ43,BC89
KS29,SW11
